case,body,trailer,make,model,modelyr
320,34,0,20,481,1999
320,16,0,20,431,2001
321,34,0,20,481,2003
322,2,0,7,28,2016
323,6,0,20,23,2011
323,80,0,76,706,2009
323,5,0,63,38,2015
323,14,0,35,402,2001
325,34,0,7,482,2004
325,66,1,82,881,2016
325,34,1,12,481,2011
325,14,0,20,403,2006
326,34,0,12,481,2003
327,80,0,53,706,2006
328,66,1,51,881,2013
328,66,1,82,881,2015
328,3,0,55,36,2011
328,34,0,49,472,2012
328,14,0,48,401,2002
328,34,1,7,482,2016
328,66,1,85,881,2016
329,15,0,62,423,2016
330,80,0,76,706,2000
331,80,0,76,706,2003
332,80,0,53,705,2001
333,2,0,12,3,2000
333,21,0,20,461,1990
334,61,0,52,882,2012
335,3,0,30,42,2003
336,4,0,55,35,2005
336,4,0,30,40,2013
336,2,0,49,44,2000
337,4,0,7,24,2010
337,20,0,41,441,2001
337,66,2,85,881,2007
338,6,0,32,47,2004
339,34,0,12,481,2002
340,66,1,85,881,2006
340,6,0,41,54,2011
340,67,1,7,880,2004
340,4,0,7,24,2007
340,34,0,12,481,2017
340,80,0,76,706,2007
341,4,0,49,40,2001
341,4,0,22,18,2003
342,34,0,7,482,1999
343,80,0,53,705,2001
343,1,0,12,3,2000
344,2,0,37,31,2003
344,14,0,20,401,2002
345,99,0,99,999,9999
346,80,0,37,706,2003
347,6,0,6,54,2004
348,4,0,49,32,1993
349,14,0,12,402,2013
349,5,0,55,35,2015
349,14,0,12,402,2013
350,80,0,76,705,2007
351,29,0,12,461,1988
352,2,0,35,48,2010
353,34,0,20,481,2001
354,3,0,37,31,1988
355,3,0,12,13,1993
356,4,0,30,40,2011
357,1,0,69,31,2006
358,4,0,20,2,2012
359,80,0,72,706,1995
359,4,0,30,40,2015
360,15,0,20,421,2007
361,4,0,63,38,2015
361,2,0,12,3,2006
362,99,0,99,999,9999
363,4,0,24,1,1999
363,14,0,49,403,2006
364,99,0,99,999,9999
365,14,0,49,401,1990
365,34,0,12,481,2013
366,80,0,72,706,2013
367,80,0,72,706,2017
369,15,0,20,421,2005
370,3,0,12,37,2001
371,34,0,49,471,1994
372,14,0,48,401,2017
372,80,0,72,706,2005
373,15,0,42,421,2012
374,2,0,54,37,1999
375,4,0,6,51,2007
376,4,0,42,42,2013
376,1,0,22,16,1999
377,4,0,12,37,2007
377,14,0,2,404,1997
377,66,1,85,881,1995
378,3,0,69,54,2015
378,4,0,49,32,2003
378,66,1,82,881,2012
379,4,0,49,40,1996
379,66,1,51,881,2018
380,29,0,12,461,2017
381,14,0,49,402,2013
382,34,1,12,471,2006
383,4,0,18,2,1999
383,80,0,76,709,1985
384,2,0,35,32,1997
384,4,0,49,40,2015
385,14,0,20,401,2002
385,15,0,20,421,2011
386,4,0,49,40,1999
386,66,1,84,884,1997
387,34,0,12,481,2004
388,14,0,41,402,2004
389,80,0,76,705,1984
389,34,0,20,481,2007
390,4,0,12,16,2008
391,80,0,73,706,1998
391,61,0,12,881,1999
392,80,0,37,706,1998
393,2,0,34,34,2006
394,4,0,49,40,2012
395,2,0,37,32,2008
395,80,0,34,706,2003
396,14,0,2,404,1995
397,34,0,20,481,2007
398,1,0,45,31,2005
399,15,0,12,422,2004
400,4,0,34,34,2004
400,6,0,49,46,2016
401,2,0,22,19,2007
402,4,0,13,15,2010
403,20,0,63,441,2003
404,4,0,20,37,2013
404,80,0,72,706,2013
404,80,0,72,706,2005
405,34,0,12,471,2002
406,4,0,34,35,1998
406,4,0,7,20,2002
407,34,0,20,471,2002
408,78,9,99,884,9999
408,67,0,12,880,2016
409,4,0,49,40,2011
410,14,0,49,401,1990
411,4,0,37,31,2003
412,80,0,53,706,2005
412,15,0,19,421,2007
413,6,0,22,32,2007
413,66,1,98,804,1997
414,15,0,49,422,2010
415,80,0,76,705,1981
416,67,0,7,880,1999
416,34,0,23,481,2001
417,6,0,7,27,2012
418,4,0,63,33,2006
418,61,0,12,881,1999
419,4,0,37,31,1999
419,34,0,12,481,2008
420,34,0,7,482,2003
421,1,0,6,43,2002
422,4,0,20,25,2012
423,5,0,7,25,2007
424,4,0,20,37,1998
424,4,0,37,32,2009
425,4,0,55,33,2016
426,14,0,12,402,2011
426,4,0,30,40,2000
427,5,0,41,51,2010
428,14,0,2,404,1995
428,34,1,23,481,2002
430,4,0,35,47,2008
430,66,1,85,881,2002
431,4,0,49,32,2008
432,52,0,98,988,2010
433,66,1,85,881,2015
434,3,0,49,33,2001
