case,age,sex,hispanic,race1,race2,race3,race4,race5,zip,licstate,drhgt_in,weight,noncdl,noncdltype,x,y
132,26,1,7.0,,,,,,98605.0,53,69.0,140.0,6.0,1.0,45.776884,-121.665502
133,82,1,7.0,,,,,,98632.0,53,72.0,149.0,6.0,1.0,46.209509,-123.056153
133,29,1,0.0,,,,,,98604.0,53,82.0,245.0,6.0,1.0,45.805747,-122.510777
134,31,1,0.0,,,,,,98512.0,53,73.0,208.0,6.0,1.0,46.975003,-123.063616
134,60,1,7.0,,,,,,98589.0,53,67.0,180.0,6.0,1.0,46.833445,-122.795318
135,58,2,7.0,,,,,,99344.0,53,69.0,140.0,6.0,1.0,46.820069,-119.178054
135,28,1,0.0,,,,,,99344.0,53,68.0,190.0,6.0,1.0,46.820069,-119.178054
136,73,1,7.0,,,,,,85730.0,4,76.0,210.0,6.0,1.0,32.181544,-110.746552
137,55,1,0.0,,,,,,98682.0,53,67.0,205.0,6.0,1.0,45.673209,-122.481745
138,18,1,0.0,,,,,,99156.0,53,67.0,132.0,6.0,1.0,48.185851,-117.196814
138,45,1,0.0,,,,,,99181.0,53,75.0,235.0,6.0,1.0,48.147785,-117.786618
139,30,1,0.0,,,,,,98284.0,53,72.0,220.0,6.0,1.0,48.546832,-122.135222
139,23,1,7.0,,,,,,98611.0,53,68.0,160.0,6.0,1.0,46.305133,-122.900688
141,46,1,7.0,,,,,,98632.0,53,75.0,280.0,6.0,1.0,46.209509,-123.056153
141,22,1,0.0,,,,,,98499.0,53,81.0,250.0,6.0,1.0,47.168693,-122.503347
141,33,1,0.0,,,,,,73505.0,40,70.0,220.0,6.0,1.0,34.572634,-98.479102
141,67,2,0.0,,,,,,98512.0,53,68.0,140.0,6.0,1.0,46.975003,-123.063616
142,58,1,7.0,,,,,,98360.0,53,72.0,245.0,6.0,1.0,47.051415,-122.153242
143,86,1,7.0,,,,,,98273.0,53,66.0,160.0,6.0,1.0,48.402754,-122.376148
143,36,1,0.0,,,,,,98226.0,53,67.0,180.0,6.0,1.0,48.798606,-122.445693
144,45,1,7.0,,,,,,98683.0,53,73.0,198.0,6.0,1.0,45.603287,-122.51017
145,27,1,4.0,,,,,,98499.0,53,60.0,135.0,6.0,1.0,47.168693,-122.503347
145,58,1,0.0,,,,,,98387.0,53,72.0,180.0,6.0,1.0,47.060925,-122.388908
147,20,2,7.0,,,,,,98584.0,53,68.0,150.0,6.0,1.0,47.238866,-123.145661
148,18,1,0.0,,,,,,83455.0,16,68.0,999.0,6.0,1.0,43.614042,-111.183881
149,21,2,0.0,,,,,,98579.0,53,66.0,135.0,6.0,1.0,46.788202,-123.125481
150,21,1,0.0,,,,,,98513.0,53,71.0,200.0,6.0,1.0,46.97703,-122.733942
151,36,2,2.0,,,,,,98674.0,53,66.0,150.0,6.0,1.0,45.951267,-122.665541
152,24,1,7.0,,,,,,98661.0,53,72.0,190.0,6.0,1.0,45.640067,-122.625018
153,58,1,7.0,,,,,,98588.0,53,72.0,245.0,6.0,1.0,47.455575,-123.024771
153,34,2,0.0,,,,,,98407.0,53,66.0,135.0,6.0,1.0,47.290365,-122.517747
153,37,1,0.0,,,,,,98584.0,53,63.0,130.0,6.0,1.0,47.238866,-123.145661
154,58,1,4.0,,,,,,98846.0,53,74.0,190.0,6.0,1.0,48.014734,-119.971145
155,62,1,0.0,,,,,,98661.0,53,67.0,170.0,6.0,1.0,45.640067,-122.625018
155,33,1,7.0,,,,,,98391.0,53,69.0,148.0,6.0,1.0,47.177102,-122.166177
155,26,2,0.0,,,,,,98031.0,53,62.0,130.0,1.0,1.0,47.405479,-122.195772
155,34,1,0.0,,,,,,98007.0,53,71.0,200.0,6.0,1.0,47.613825,-122.144365
156,77,1,7.0,,,,,,98382.0,53,75.0,275.0,6.0,1.0,48.023189,-123.106245
157,71,1,7.0,,,,,,98266.0,53,70.0,135.0,6.0,1.0,48.963594,-122.123034
157,24,2,0.0,,,,,,98225.0,53,65.0,260.0,6.0,1.0,48.75094,-122.501286
157,25,1,7.0,,,,,,98248.0,53,72.0,180.0,6.0,1.0,48.864419,-122.619419
158,23,1,0.0,,,,,,99023.0,53,72.0,187.0,6.0,1.0,47.561082,-117.171788
159,54,1,7.0,,,,,,98564.0,53,72.0,200.0,6.0,1.0,46.449477,-122.41965
160,49,1,0.0,,,,,,98329.0,53,71.0,200.0,6.0,1.0,47.360807,-122.744173
160,65,1,7.0,,,,,,98329.0,53,70.0,200.0,0.0,0.0,47.360807,-122.744173
160,68,2,0.0,,,,,,98349.0,53,66.0,180.0,6.0,1.0,47.273147,-122.764515
161,42,1,0.0,,,,,,98168.0,53,71.0,230.0,6.0,1.0,47.489569,-122.29996
162,17,1,7.0,,,,,,98857.0,53,70.0,150.0,6.0,2.0,46.982733,-119.057609
162,32,2,0.0,,,,,,98208.0,53,69.0,145.0,6.0,1.0,47.901777,-122.186999
163,25,1,0.0,,,,,,98579.0,53,70.0,180.0,6.0,1.0,46.788202,-123.125481
163,18,2,7.0,,,,,,98531.0,53,62.0,160.0,6.0,1.0,46.730437,-122.902774
164,92,1,7.0,,,,,,99337.0,53,70.0,184.0,6.0,1.0,46.073223,-119.09074
164,49,1,0.0,,,,,,99337.0,53,71.0,180.0,6.0,1.0,46.073223,-119.09074
165,38,1,7.0,,,,,,98674.0,53,71.0,235.0,1.0,1.0,45.951267,-122.665541
166,84,2,7.0,,,,,,98407.0,53,61.0,130.0,6.0,1.0,47.290365,-122.517747
167,18,2,0.0,,,,,,98003.0,53,64.0,145.0,6.0,1.0,47.304801,-122.316969
168,21,1,7.0,,,,,,98311.0,53,68.0,145.0,6.0,1.0,47.631197,-122.631017
169,55,1,7.0,,,,,,98801.0,53,67.0,160.0,6.0,1.0,47.423594,-120.336633
170,55,1,7.0,,,,,,98372.0,53,73.0,225.0,6.0,1.0,47.205607,-122.266088
170,35,1,0.0,,,,,,98584.0,53,68.0,185.0,6.0,1.0,47.238866,-123.145661
171,89,2,7.0,,,,,,99208.0,53,66.0,180.0,6.0,1.0,47.788172,-117.480897
171,44,1,0.0,,,,,,99207.0,53,72.0,200.0,6.0,1.0,47.68875,-117.387464
172,59,1,0.0,,,,,,98335.0,53,68.0,190.0,6.0,1.0,47.296947,-122.623661
172,35,1,7.0,,,,,,98043.0,53,70.0,170.0,6.0,1.0,47.791111,-122.30779
173,72,1,7.0,,,,,,98146.0,53,72.0,240.0,6.0,1.0,47.500058,-122.357848
175,20,1,0.0,,,,,,98032.0,53,72.0,186.0,6.0,1.0,47.391942,-122.257192
