case,crash_dt,crash_tm,numfatal,crashtype
292,08/01/2017,9:28,1,65
292,08/01/2017,9:28,1,98
292,08/01/2017,9:28,1,98
293,08/02/2017,18:16,1,2
294,08/04/2017,9:43,1,11
295,07/21/2017,12:51,1,82
295,07/21/2017,12:51,1,83
296,07/25/2017,14:39,1,6
297,07/26/2017,8:40,1,13
298,08/02/2017,13:15,1,64
298,08/02/2017,13:15,1,65
299,08/09/2017,17:06,1,50
299,08/09/2017,17:06,1,51
300,08/04/2017,5:28,1,46
300,08/04/2017,5:28,1,45
301,08/01/2017,8:15,1,83
301,08/01/2017,8:15,1,82
302,08/13/2017,1:07,1,6
303,08/13/2017,13:58,1,13
304,08/07/2017,12:36,1,98
304,08/07/2017,12:36,1,98
305,08/10/2017,10:17,1,50
305,08/10/2017,10:17,1,51
306,08/03/2017,22:42,1,13
307,08/09/2017,14:23,1,24
307,08/09/2017,14:23,1,25
307,08/09/2017,14:23,1,98
308,08/11/2017,21:30,1,64
308,08/11/2017,21:30,1,65
309,08/12/2017,15:45,1,98
309,08/12/2017,15:45,1,98
310,08/04/2017,21:07,1,13
311,08/17/2017,13:15,1,68
311,08/17/2017,13:15,1,69
312,08/18/2017,4:04,1,13
313,08/16/2017,14:45,1,82
313,08/16/2017,14:45,1,83
313,08/16/2017,14:45,1,98
314,08/19/2017,11:12,1,7
315,08/09/2017,14:03,1,6
316,08/21/2017,12:26,1,2
317,08/18/2017,15:37,1,13
318,08/21/2017,18:59,1,13
319,08/15/2017,2:01,1,6
320,08/22/2017,23:30,2,50
320,08/22/2017,23:30,2,51
320,08/22/2017,23:30,2,98
321,08/21/2017,2:30,1,6
322,08/05/2017,20:30,1,7
323,08/23/2017,6:48,1,46
323,08/23/2017,6:48,1,45
323,08/23/2017,6:48,1,98
323,08/23/2017,6:48,1,98
325,08/24/2017,10:40,1,29
325,08/24/2017,10:40,1,28
325,08/24/2017,10:40,1,98
325,08/24/2017,10:40,1,98
326,08/25/2017,0:55,1,2
327,08/21/2017,13:56,1,13
328,08/27/2017,3:49,1,20
328,08/27/2017,3:49,1,21
328,08/27/2017,3:49,1,98
328,08/27/2017,3:49,1,98
328,08/27/2017,3:49,1,98
328,08/27/2017,3:49,1,98
328,08/27/2017,3:49,1,98
329,08/25/2017,22:52,1,13
330,08/26/2017,10:24,1,98
331,08/26/2017,20:02,1,1
332,08/26/2017,,1,7
333,08/17/2017,20:28,1,50
333,08/17/2017,20:28,1,51
334,08/29/2017,15:08,1,6
335,08/30/2017,2:27,1,6
336,08/29/2017,15:00,1,50
336,08/29/2017,15:00,1,51
336,08/29/2017,15:00,1,98
337,08/24/2017,16:12,1,28
337,08/24/2017,16:12,1,29
337,08/24/2017,16:12,1,98
338,08/30/2017,22:12,1,1
339,08/30/2017,21:25,1,13
340,08/31/2017,16:14,1,20
340,08/31/2017,16:14,1,21
340,08/31/2017,16:14,1,98
340,08/31/2017,16:14,1,98
340,08/31/2017,16:14,1,98
340,08/31/2017,16:14,1,98
341,08/30/2017,18:02,1,98
341,08/30/2017,18:02,1,98
342,08/20/2017,0:24,1,0
343,08/08/2017,7:23,1,79
343,08/08/2017,7:23,1,78
344,08/06/2017,18:29,1,50
